ident,gtdb_representative,superkingdom,phylum,class,order,family,genus,species
GCA_016219835.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__JACRKL01,g__JACRKL01,s__JACRKL01 sp016219835
GCA_002693905.2,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__UBA36,s__UBA36 sp002716085
GCA_030046055.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__UBA184,s__UBA184 sp030039995
GCA_009995015.1,f,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__CG10238-14,f__CG10238-14,g__CG10238-14,s__CG10238-14 sp002789635
GCA_018396975.1,t,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__Bathyarchaeales,f__B26-1,g__DTEX01,s__DTEX01 sp018396975
GCA_021835385.1,f,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__CABMGC01,g__JAJZOD01,s__JAJZOD01 sp021801225
GCA_027379995.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__JAMDBT01,s__JAMDBT01 sp023487205
GCF_006274605.1,t,d__Archaea,p__Methanobacteriota_B,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus indicus
GCF_001602375.1,t,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoculleaceae,g__Methanoculleus,s__Methanoculleus horonobensis
GCA_017608625.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__JAFCFN01,g__JAFCFN01,s__JAFCFN01 sp017608625
GCA_022759185.1,f,d__Archaea,p__Thermoproteota,c__EX4484-205,o__EX4484-205,f__JAAOZO01,g__JAAOZO01,s__JAAOZO01 sp011605715
GCA_021845245.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__UBA9642,g__UBA9642,s__UBA9642 sp021813435
GCF_023008545.1,t,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natribaculum,s__Natribaculum luteum
